#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED
'I','405603','LS-7','G-DFOG','952','Y','Y'
'I','40561B','ASW-19','G-CHLV','HLV','Y','Y'
'I','405652','Pegase','G-CFJK','FJK','Y','Y'
'F','405675','ASW-19','G-CUGC','CU','Y','Y'
'I','40568D','ASK-18','G-CJKU','JKU','Y','Y'
'F','4056F2','Astir CS','G-CJWR','JWR','Y','Y'
'F','405717','Pegase','G-CFFC','FFC','Y','Y'
'F','405720','Astir CS-77','G-DDNE','DNE','Y','Y'
'F','40576D','ASK-18','G-cjmk','R49','Y','Y'
'I','405796','Astir CS-77','G-DDPO','DPO','Y','Y'
'I','405811','DG-500','G-CHEF','HEF','Y','Y'
'I','405870','Cirrus Std','G-CHGG','HGG','Y','Y'
'I','4058B3','Discus','G-CHOR','T19','Y','Y'
'I','405939','SZD-50 Puchacz','G-CJRJ','JRJ','Y','Y'
'I','405A7B','Discus','G-CHVR','HVR','Y','Y'
'F','405A86','Slingsby Vega 15m','G-DDXG','DXG','Y','Y'
'F','405ABE','ASK-21','G-DETA','ETA','Y','Y'
'F','405ACD','Discus t','G-CFYX','FYX','Y','Y'
'I','405ACE','Ka-6 cr','G-DBZX','BZX','Y','Y'
'F','405B0E','Ventus','G-CHHN','979','Y','Y'
'I','405B47','ASK-13','G-EEBL','EBL','Y','Y'
'I','405B5F','Ka-8','G-CJOZ','JOZ','Y','Y'
'I','405B9A','Ka-8','G-DDKC','DKC','Y','Y'
'I','405BB6','DG-300','G-CHVM','393','Y','Y'
'I','405BB8','LS-8 18','G-FLUZ','618','Y','Y'
'I','405C4C','Duo Discus t','G-ODDZ','DD2','Y','Y'
'I','405C53','Twin Astir II','G-DEWG','EWG','Y','Y'
'F','405CA5','Cirrus Std','G-CGCD','GCD','Y','Y'
'F','405CC0','Ka-6 cr','G-cfls','FLS','Y','Y'
'I','405D51','DR-400','G-SJMH','MH','Y','Y'
'I','405DA8','ASW-19','G-CJUN','19','Y','Y'
'F','405DC5','Duo Discus xlt','G-CKSM','KSM','Y','Y'
'F','405DE4','Astir CS','G-CMWK','MWK','Y','Y'
'F','405E0B','ASW-20','G-DDVV','DV','Y','Y'
'I','405E34','Ka-8','G-DCFF','CFF','Y','Y'
'F','405FA9','Grob G109','G-CFUG','','Y','Y'
'I','405FE0','Ventus 2ct','G-CJUF','46','Y','Y'
'F','406026','Ventus 2cxT','G-CKTB','M3','Y','Y'
'I','406031','Eurostar EV97','G-HMCA','MCA','Y','Y'
'F','4060D0','Motorplane','G-CGKA','KA','Y','Y'
'F','4060D1','Motorplane','G-CGKB','KB','Y','Y'
'F','4060D2','Motorplane','G-CGKC','KC','Y','Y'
'F','4060D3','Motorplane','G-CGKD','KD','Y','Y'
'F','4060D4','Motorplane','G-CGKE','KE','Y','Y'
'F','4060D5','Motorplane','G-CGKF','KF','Y','Y'
'F','4060D6','Motorplane','G-CGKG','KG','Y','Y'
'F','4060D7','Motorplane','G-CGKH','KH','Y','Y'
'F','4060D8','Motorplane','G-CGKI','KI','Y','Y'
'F','4060D9','Motorplane','G-CGKJ','KJ','Y','Y'
